# Channel 1,,,,
# Trace 1,,,,
Frequency, Formatted Data, Formatted Data,,
4.79E+07,3.25E+04,-2.51E+03,,
4.83E+07,2.10E+04,-1.50E+04,,
4.86E+07,1.18E+04,-1.52E+04,,
4.90E+07,5.97E+03,-1.20E+04,,
4.93E+07,4.21E+03,-1.02E+04,,
4.96E+07,3.47E+03,-8.36E+03,,
5.00E+07,2.10E+03,-7.53E+03,,
5.03E+07,1.64E+03,-6.43E+03,,
5.07E+07,1.26E+03,-5.70E+03,,
5.10E+07,9.34E+02,-5.07E+03,,
5.14E+07,6.93E+02,-4.51E+03,,
5.17E+07,6.40E+02,-4.03E+03,,
5.21E+07,5.51E+02,-3.68E+03,,
5.24E+07,5.11E+02,-3.33E+03,,
5.28E+07,4.04E+02,-3.08E+03,,
5.31E+07,3.57E+02,-2.82E+03,,
5.34E+07,3.38E+02,-2.59E+03,,
5.38E+07,2.92E+02,-2.43E+03,,
5.41E+07,2.79E+02,-2.25E+03,,
5.45E+07,2.74E+02,-2.10E+03,,
5.48E+07,2.54E+02,-1.95E+03,,
5.52E+07,2.45E+02,-1.83E+03,,
5.55E+07,2.29E+02,-1.71E+03,,
5.59E+07,2.01E+02,-1.61E+03,,
5.62E+07,2.07E+02,-1.51E+03,,
5.65E+07,2.20E+02,-1.43E+03,,
5.69E+07,2.07E+02,-1.35E+03,,
5.72E+07,1.93E+02,-1.28E+03,,
5.76E+07,1.84E+02,-1.21E+03,,
5.79E+07,1.78E+02,-1.14E+03,,
5.83E+07,1.78E+02,-1.09E+03,,
5.86E+07,1.63E+02,-1.02E+03,,
5.90E+07,1.60E+02,-9.66E+02,,
5.93E+07,1.61E+02,-9.17E+02,,
5.97E+07,1.59E+02,-8.65E+02,,
6.00E+07,1.56E+02,-8.22E+02,,
6.03E+07,1.57E+02,-7.81E+02,,
6.07E+07,1.52E+02,-7.39E+02,,
6.10E+07,1.54E+02,-7.00E+02,,
6.14E+07,1.48E+02,-6.65E+02,,
6.17E+07,1.45E+02,-6.31E+02,,
6.21E+07,1.43E+02,-5.99E+02,,
6.24E+07,1.38E+02,-5.64E+02,,
6.28E+07,1.33E+02,-5.34E+02,,
6.31E+07,1.29E+02,-5.04E+02,,
6.34E+07,1.25E+02,-4.73E+02,,
6.38E+07,1.22E+02,-4.43E+02,,
6.41E+07,1.19E+02,-4.15E+02,,
6.45E+07,1.17E+02,-3.88E+02,,
6.48E+07,1.14E+02,-3.60E+02,,
6.52E+07,1.11E+02,-3.35E+02,,
6.55E+07,1.09E+02,-3.09E+02,,
6.59E+07,1.07E+02,-2.84E+02,,
6.62E+07,1.05E+02,-2.59E+02,,
6.66E+07,1.04E+02,-2.34E+02,,
6.69E+07,1.03E+02,-2.10E+02,,
6.72E+07,1.03E+02,-1.87E+02,,
6.76E+07,1.04E+02,-1.64E+02,,
6.79E+07,1.06E+02,-1.43E+02,,
6.83E+07,1.07E+02,-1.24E+02,,
6.86E+07,1.09E+02,-1.06E+02,,
6.90E+07,1.09E+02,-8.95E+01,,
6.93E+07,1.08E+02,-7.39E+01,,
6.97E+07,1.06E+02,-5.81E+01,,
7.00E+07,1.02E+02,-4.17E+01,,
